station_sk,station_key,station_reference,label,river_name,catchment_name,town,status,latitude,longitude,easting,northing,date_opened,station_types,measure_count,attr_hash,valid_from,valid_to,is_current,run_id
-2912299030647192541,6012784903122893037,0001,Silvertown,Thames Tideway,London,Silvertown,Active,51.497504,0.052616,542579,179616,1989-01-01,,1,43e8bfd377ebfec37a79608a254fdff5,2026-09-21T20:01:46.368+00:00,,true,366262550389695
1531720696666652207,53813611653493888,0003,Charlton,Thames Tideway,London,Charlton,Active,51.496948,0.020435,540347,179492,1989-01-01,,1,fb9c002d249dadf0da0d8558e83aa4cb,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-3095410776215697491,-4721263032920898261,0006,Westminster,Thames Tideway,London,Westminster,Active,51.501216,-0.12385,530320,179700,1989-01-03,,2,e8df18c51874bef02407ccb03f4f5cff,2026-09-21T20:01:46.368+00:00,,true,366262550389695
6838975606255008869,113990546409461569,0007,Tower Pier,Thames Tideway,London,Tower Pier,Active,51.506753,-0.078706,533437,180397,1988-01-01,,2,cea8531e4805fe3baa195a4982eee020,2026-09-21T20:01:46.368+00:00,,true,366262550389695
1360633393193459926,7238783482535492442,0009,Richmond,Thames Tideway,London,Richmond,Active,51.462258,-0.316193,517070,175043,1989-01-01,,1,3822a0703ef3ecdc587cc375cc61b08e,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-575557763326012686,7172347325439775547,0010,Hammersmith,Thames Tideway,London,Hammersmith,Suspended,51.489988,-0.234708,522656,178260,2023-09-14,,1,7ed3949b1dc7b91dc19eea30ee6d0544,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-6078106490786893774,-4620497601194076272,0018,"[""Erith Deep Wharf"",""Erith Deep Wharf TL""]",Thames Tideway,"[""Loddon"",""London""]",Erith,Active,51.481798,0.186705,551938,178139,1988-04-14,,2,611ac0863165a8e62eb8499a69bd4d8b,2026-09-21T20:01:46.368+00:00,,true,366262550389695
2040667678226187566,3424560139236902824,0019,Southend,Thames Tideway,London,Southend,Active,51.514457,0.723335,589060,183020,1988-05-26,,2,d890be65fe98fcfaed9e06b94332d717,2026-09-21T20:01:46.368+00:00,,true,366262550389695
6106760933152729680,-3502659337687024835,0020,Tilbury,Thames Tideway,London,Tilbury,Active,51.456735,0.334956,562320,175670,1989-01-17,,1,2cd5e7dc7f3561026f75e8a05084a276,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-2890397971375873747,-7046363555705029278,0130TH,Ewen,River Thames,Cotswolds,Ewen,Active,51.674733,-1.9904,400760,197330,1986-01-01,,2,b52b3fbd2a71bd721d4a7e2215a6d255,2026-09-21T20:01:46.368+00:00,,true,366262550389695
3599082579708899734,-7183855946959835339,0144TH,Somerford Keynes,River Thames,Cotswolds,Somerford Keynes,Active,51.650724,-1.973061,401960,194660,2001-01-01,,1,2fb7460c6ac22690dd519a98d32eb831,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-5079509439240588412,2812916605272563627,0155TH,Oaksey,Swill Brook,Cotswolds,Oaksey,Active,51.632205,-2.007169,399600,192600,1983-01-01,,2,878f66b2131e63fc82f01258a508a174,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-7102883098810699547,-7249665019474573822,0184TH,Purton Stoke,River Key,Vale of White Horse,Purton Stoke,Active,51.61322,-1.87404,408818,190496,2004-01-01,,1,9aa7443b4a58a459b021caf065efaee3,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-6240086805352071202,-8143993825689061028,0190TH,Cricklade,River Thames,Cotswolds,Cricklade,Active,51.646694,-1.865536,409400,194220,1986-01-01,,2,64ca0f3d9d4554c86347617c30dc96ef,2026-09-21T20:01:46.368+00:00,,true,366262550389695
3522054670837271250,7682458262866647198,021009,Norham,River Tweed,Till,Norham,Active,55.722365,-2.16338,389835,647675,2006-05-04,,1,ba50329b1d0fc41ed01cc0fc862ff18d,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-423790087272802363,-1303569949325573612,021021,Sprouston,River Tweed,Till,Sprouston,Active,55.61121,-2.395446,375187,635363,2006-01-19,,1,a95b91763f1e47cbe819d21bef8c01ed,2026-09-21T20:01:46.368+00:00,,true,366262550389695
2309744055486667323,-7884672260906541872,021030,Coldgate Mill,Wooler Water,Till,North Middleton,Active,55.517539,-2.005254,399766,624867,2000-03-16,,1,7234ece87d1a30369dc81872a24e6677,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-3713532574457067599,-2958976907183489015,021033,Wooler,Wooler Water,Till,Wooler,Active,55.546346,-2.010726,399421,628073,1999-04-12,,1,db57eb741363b5bd104bcd0f9d982bf9,2026-09-21T20:01:46.368+00:00,,true,366262550389695
3620012436561511312,8581499506358175150,021034,Doddington Bridge,River Till,Till,Doddington Bridge,Active,55.570489,-2.003375,399885,630760,1999-06-01,,1,b37bfa0d308f9c06d4c1ed59e0d03629,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-3968829605050884049,7773850892994526633,021035,Weetwood Bridge,River Till,Till,Weetwood Bridge,Active,55.558931,-1.972111,401857,629474,1999-06-01,,1,96c400caa8829e715197e72cfe06c3df,2026-09-21T20:01:46.368+00:00,,true,366262550389695
6004318050767738579,3046733530080121490,021037,Waren Mill,Waren Burn,Northumberland Rivers,Warenmill,Active,55.602485,-1.769011,414652,634345,1999-10-21,,2,c4d3e4505355a0fdceb52f7d262cec3a,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-3818625107950560211,-8771890123368350678,021038,Heaton Mill,River Till,Till,Heaton Mill,Active,55.674792,-2.160923,389977,642380,2001-11-22,,1,515305b88f89c48632c3a58b0095ebd7,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-8509584858652467575,-8324525890560485316,021039,Pawston,Bowmont Water,Till,Pawston,Active,55.593513,-2.232993,385414,633347,2004-07-01,,1,71cb19267c6dfbdfb82d8839074b3823,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-924997632733477675,-2784309197066772925,021040,Waren Ford,Waren Burn,Till,Warenford,Active,55.550443,-1.784723,413680,628550,2004-12-09,,1,efbc5e9bf7f662be1a6069edac20e0c0,2026-09-21T20:01:46.368+00:00,,true,366262550389695
5640903796026978876,-4193629502519208738,021041,Belford,Belford Burn,Till,Belford,Active,55.598101,-1.830134,410802,633846,2008-01-17,,1,c76e2ec656b8d7820e781df88775e131,2026-09-21T20:01:46.368+00:00,,true,366262550389695
3056911199083849059,-821729043686161438,021999,Berwick,River Tweed,Till,Berwick,Active,55.767093,-2.005082,399779,652641,2005-10-19,,2,95d0a30196ca9a5b08c56446b41dc5b2,2026-09-21T20:01:46.368+00:00,,true,366262550389695
1278044231977710001,1226927542862541118,022001,Morwick,River Coquet,Northumberland Rivers,Morwick,Suspended,55.333528,-1.631891,423450,604450,1963-01-01,,2,70985343c662634d99faa373721421e4,2026-09-21T20:01:46.368+00:00,,true,366262550389695
2584152578900976989,5164418144381525022,022003,Shilmoor,Usway Burn,Northumberland Rivers,Shillmoor,Active,55.363152,-2.180351,388665,607700,1903-04-17,,1,b8a510feb4eb167a6ab636669fd08f5f,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-7337951919702311099,-5222202153739759563,022006,Hartford Bridge,River Blyth,Northumberland Rivers,Hartford Bridge,Active,55.113789,-1.620587,424300,580000,1963-03-16,,1,b3ebcbd8a64ab2b55e3ea369be9bfac4,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-2177080269829860654,2862431421197125205,022007,Mitford,River Wansbeck,Northumberland Rivers,Mitford,Active,55.166194,-1.727617,417450,585800,1962-01-01,,1,1c84e66dceabb628eb3f1ad7098240c8,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-8189213643412775872,-1912571103581689923,022009,Rothbury,River Coquet,Northumberland Rivers,Rothbury,Active,55.308429,-1.895992,406700,601600,1971-01-01,,2,cf1c84a37792c8ddcf3b981975c0562a,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-9138045986529681368,-1880168126940572551,022011,Hartburn,River Hartburn,Northumberland Rivers,Hartburn,Active,55.177213,-1.871211,408300,587000,1993-10-01,,1,eab3d90ed7e9bd492d65f17579461316,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-1260558636162639565,-2498691497957528306,022012,Stamfordham,River Pont,Northumberland Rivers,Stamfordham,Active,55.040628,-1.873213,408200,571800,1998-01-01,,1,e7b61a572ec4537202c3c6e844bb662f,2026-09-21T20:01:46.368+00:00,,true,366262550389695
3041197168956167835,178396686412094949,022013,Callerton Lane,River Pont,Northumberland Rivers,Ponteland,Active,55.049407,-1.741713,416600,572800,1999-01-01,,2,ed24fc52970a931274f9022a4c0bccb5,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-4648054039255392804,7587774337424068739,022014,Alwinton Bridge,River Coquet,Northumberland Rivers,Alwinton,Active,55.344803,-2.122952,392300,605650,2000-01-01,,1,50ebfbaffe93dc0aa086c806fa123ee1,2026-09-21T20:01:46.368+00:00,,true,366262550389695
3972659928732372378,-871192804140681483,022015,Middleton Bridge,River Wansbeck,Northumberland Rivers,Middleton,Active,55.151643,-1.917583,405350,584150,2001-01-01,,1,76c6bd3e2715b4f721e82d2179243de1,2026-09-21T20:01:46.368+00:00,,true,366262550389695
6851542094737009001,-2982980616425950546,022016,Nunnykirk,River Font,Northumberland Rivers,Nunnykirk,Active,55.232946,-1.893044,406900,593200,2001-01-01,,2,0f464e82fb0401dbfed5339140cddb1f,2026-09-21T20:01:46.368+00:00,,true,366262550389695
5085028101598243412,7561916717773925847,022017,Morpeth,River Wansbeck,Northumberland Rivers,Morpeth,Active,55.167634,-1.6945,419559,585969,2004-11-01,,2,c70427ee5e52faebc74775382ea2040a,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-4770235174066790680,2159424601035457290,022020,Warkworth,River Coquet,Till,Warkworth,Active,55.348353,-1.608289,424938,606108,2006-06-14,,1,6b913e6b4cb13dcd4e6b57e698efb9b0,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-8584571422811481657,-5563327134419763779,022999,Blyth,North Sea,Northumberland Rivers,Blyth,Active,55.12861,-1.494986,432300,581700,2002-01-23,,1,c0b44ef5f73db4bf0ec243d62bffa009,2026-09-21T20:01:46.368+00:00,,true,366262550389695
1919142154946106035,5731656788391496224,023001,Bywell,River Tyne,Tyne,Bywell,Active,54.94992,-1.940633,403900,561700,1956-01-01,,1,6261e52839f78254622f90f918bffde2,2026-09-21T20:01:46.368+00:00,,true,366262550389695
2021904802441307231,7325576927421104695,023002,Eddys Bridge,River Derwent,Tyne,Muddleswick,Active,54.851887,-1.937552,404107,550791,1982-01-01,,1,ada3bc1ac73d56483415260743c52e88,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-8724287139670277139,-235825328832263584,023003,Reaverhill,River North Tyne,Tyne,Barrasford,Active,55.053183,-2.148665,390600,573200,1959-01-01,,1,9547a0feafcf5ba4e60cad55af8aa3d6,2026-09-21T20:01:46.368+00:00,,true,366262550389695
3425858728796367691,1156643125203500382,023004,Haydon Bridge,River South Tyne,Tyne,Haydon Bridge,Active,54.976681,-2.226498,385600,564700,1962-01-01,,1,2ecf2179806e9ad499796cd953302088,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-7183407280069353074,3141643923275290588,023006,Featherstone,River South Tyne,Tyne,Rowfoot,Active,54.943457,-2.513542,367200,561100,1966-01-01,,2,cfbcbc7e9a8a630b334ae6fe41fbbb48,2026-09-21T20:01:46.368+00:00,,true,366262550389695
-6815988155670553096,3176963604397514130,023007,Rowlands Gill,River Derwent,Derwent,Rowlands Gill,Active,54.917259,-1.73922,416814,558095,1971-08-13,,1,e609aa6fadedbf4b08ca49855f9c41b2,2026-09-21T20:01:46.368+00:00,,true,366262550389695
2776524079640835442,155704408567979552,023008,Rede Bridge,River Rede,Tyne,Redesmouth,Active,55.142955,-2.208614,386800,583200,1968-01-01,,1,7c7fa06fa9cb108e6605f5662ed40f10,2026-09-21T20:01:46.368+00:00,,true,366262550389695
